,address,store,number,geometry.type,longtitude,latitude
0,"253 W 51st St
New York, NY 10019",Bibble & Sip,540,Point,-73.985214,40.7628203
1,"83-25 Broadway
Elmhurst, NY 11373",JoJu,535,Point,-73.879126,40.740802
2,"13 St Marks Pl
New York, NY 10003",Spot Dessert Bar,532,Point,-73.9889486,40.7293637
3,"65 Bayard St
New York, NY 10013",Chinatown Ice Cream Factory,525,Point,-73.9981078,40.71535129999999
4,"85B Allen St
New York, NY 10002",Soft Swerve,521,Point,-73.9911935,40.7181664
5,"118 Baxter St
New York, NY 10013",Kam Hing Coffee Shop,520,Point,-73.9992513,40.7180353
6,"1700 2nd Ave
New York, NY 10128",Vietnaam,516,Point,-73.950418,40.7791782
7,"433 Broome St
Ground Fl
New York, NY 10013",Harney & Sons SoHo,515,Point,-73.9994621,40.7213556
8,"17 W 32nd St
New York, NY 10001",Grace Street,507,Point,-73.9865153,40.747819
9,"134 Smith St
Brooklyn, NY 11201",Hanco’s,491,Point,-73.9903604,40.6872209
10,"28 Jane St
New York, NY 10014",Grounded,486,Point,-74.00343,40.737976
11,"114 Macdougal St
New York, NY 10012",Saigon Shack,484,Point,-74.0005639,40.7296597
12,"362 W 45th St
New York, NY 10036",Schmackary’s,473,Point,-73.98980209999999,40.7597597
13,"23 Clinton St
New York, NY 10002",Boba Guys,468,Point,-73.9845193,40.7206127
14,"106 Mott St
New York, NY 10013",Sweet Moment,459,Point,-73.9970059,40.7176668
15,"6 W 32nd St
New York, NY 10001",Paris Baguette,457,Point,-73.9863775,40.7472205
16,"425 W 15th St
New York, NY 10011",Very Fresh Noodles,452,Point,-74.0061307,40.7422926
17,"222 Lafayette St
New York, NY 10012",BoCaphe,452,Point,-73.9976257,40.7220993
18,"36-39 Prince St
Flushing, NY 11354",Prince Tea House,448,Point,-73.8326939,40.7612978
19,"230 E 9th St
Fl 2
New York, NY 10003",Cha-An,442,Point,-73.9881681,40.7294074
20,"18 E 41st St
New York, NY 10017",Café Zaiya,441,Point,-73.9804547,40.75220789999999
21,"32-02 30th Ave
Astoria, NY 11102",Burger Club,426,Point,-73.9204957,40.7663421
22,"49 Bayard St
New York, NY 10013",Vivi Bubble Tea,424,Point,-73.99748799999999,40.7151669
23,"315 5th Ave
New York, NY 10016",Besfren,424,Point,-73.9851724,40.7468603
24,"935 Columbus Ave
New York, NY 10025",Saiguette,423,Point,-73.9627312,40.79899289999999
25,"373 Broome St
New York, NY 10013",Cha Cha Matcha,422,Point,-73.9962737,40.7201712
26,"39-34 Bell Blvd
Bayside, NY 11361",Nippon Cha,420,Point,-73.7716762,40.7643237
27,"445 Albee Square W
Basement Level
Brooklyn, NY 11201",Dekalb Market Hall,413,Point,-73.9833099,40.6910198
28,"158 W 55th St
New York, NY 10019",Radiance Tea House and Books,411,Point,-73.98053879999999,40.7638452
29,"73 Mott St
New York, NY 10013",Ten Ren’s Tea Time,406,Point,-73.99819959999999,40.7163685
30,"238 E 14th St
New York, NY 10003",BaoHaus,392,Point,-73.98578069999999,40.7324276
31,"11 W 32nd St
Fl 2
New York, NY 10001",Spot Dessert Bar,350,Point,-73.9861939,40.7477348
32,"85 Kenmare St
New York, NY 10012",Bar Pa Tea,344,Point,-73.9967305,40.7214124
33,"350 7th Ave
Brooklyn, NY 11215",Hanco’s,344,Point,-73.9823372,40.6663056
34,"109 Montrose Ave
Brooklyn, NY 11206",Nam Nam,343,Point,-73.9452357,40.7072817
35,"31 West 32nd St
New York, NY 10001",Tous Les Jours,340,Point,-73.9870352,40.7479357
36,"51 Chrystie St
New York, NY 10002",Yaya Tea Garden,339,Point,-73.9950865,40.7163583
37,"39-16 Prince St
Flushing, NY 11354",Spot Dessert Bar,339,Point,-73.8322441,40.7590931
38,"1564 1st Ave
New York, NY 10028",Emack & Bolio’s,315,Point,-73.9514222,40.7737594
39,"63 Bayard St
New York, NY 10013",Mango Mango Dessert - New York,312,Point,-73.9980929,40.7153242
40,"6122 7th Ave
Brooklyn, NY 11220",Prince Tea House,311,Point,-74.013036,40.6359319
41,"73 Chrystie St
New York, NY 10002",Kung Fu Tea,277,Point,-73.9945616,40.7171001
42,"129 E 45th St
New York, NY 10017",CoCo Fresh Tea & Juice,275,Point,-73.97428479999999,40.7533859
43,"5-51 47th Ave
Long Island City, NY 11101",Cyclo,274,Point,-73.9542519,40.745926
44,"32-02 34th Ave
Astoria, NY 11106",Tea and Milk,274,Point,-73.9262574,40.7590794
45,"109 Eldridge St
New York, NY 10002",Simple NYC,267,Point,-73.9922198,40.7182142
46,"949 Broadway
New York, NY 10010",Argo Tea,261,Point,-73.9896776,40.7409957
47,"75 W 38th St
New York, NY 10018",Gong Cha,252,Point,-73.9856369,40.7523195
48,"89A Bayard St
New York, NY 10013",Alimama,236,Point,-73.9992694,40.7158204
49,"145D Hester St
New York, NY 10002",Teado Tea Shop,230,Point,-73.99508709999999,40.7172508
50,"Located in
Food Gallery 32",Sweet Churros,228,Point,-73.986194,40.747735
51,"567 7th Ave
New York, NY 10018",Paris Baguette,216,Point,-73.9875184,40.7549419
52,"348 7th Ave
New York, NY 10001",VLife,213,Point,-73.9929658,40.7482132
53,"422 Forest Ave
Staten Island, NY 10301",Beans and Leaves,206,Point,-74.1033446,40.6306423
54,"341 E 78th St
New York, NY 10075",Sashimi Ramen Express,204,Point,-73.9540525,40.7722252
55,"13518 Roosevelt Ave
Flushing, NY 11354",Ten Ren Tea & Ginseng,203,Point,-73.83126949999999,40.7589721
56,"177 New Dorp Ln
New York, NY 10306",Piece A Cake,199,Point,-74.114797,40.5734688
57,"81 Bergen St
Brooklyn, NY 11201",Van Leeuwen,198,Point,-73.9901564,40.68672309999999
58,"125 2nd Ave
New York, NY 10003",Bingbox Snow Cream,197,Point,-73.98812219999999,40.7283583
59,"1792 Broadway
New York, NY 10019",Argo Tea,195,Point,-73.98147759999999,40.7671394
60,"11 Waverly Pl
New York, NY 10002",Boba Guys,194,Point,-73.9940771,40.7301485
61,"178 Lincoln Pl
Brooklyn, NY 11217",Banhmigos,185,Point,-73.97435089999999,40.67554670000001
62,"55B Bayard St
New York, NY 10013",Bubbly Tea,180,Point,-73.9978323,40.7151578
63,"622 Washington Ave
Brooklyn, NY 11238",Look By Plant Love House,179,Point,-73.9643268,40.679893
64,"1407 Richmond Ave
Staten Island, NY 10314",Pho Mac Vietnamese Restaurant,179,Point,-74.15757409999999,40.6139183
65,"11 Pell St
New York, NY 10013",Taiwan Bear House,178,Point,-73.9978094,40.7147104
66,"265 Canal St
New York, NY 10013",Boba Guys,177,Point,-74.0008623,40.71906320000001
67,"265 Canal St
New York, NY 10013",Boba Guys,177,Point,-74.0008623,40.71906320000001
68,"265 Canal St
New York, NY 10013",Canal Street Market,97,Point,-74.0008623,40.71906320000001
69,"265 Canal St
New York, NY 10013",Canal Street Market,97,Point,-74.0008623,40.71906320000001
70,"45-43B Bell Blvd
Bayside, NY 11361",Pâté,176,Point,-73.768365,40.759153
71,"136 W 28th St
New York, NY 10001",Ajisen Ramen,173,Point,-73.9922083,40.7466196
72,"3710 31st Ave
Astoria, NY 11103",Tea Plus Cafe,172,Point,-73.918453,40.761676
73,"205 Allen St
New York, NY 10002",Vivi Bubble Tea,168,Point,-73.9891207,40.7227182
74,"136-20 38th Ave
Flushing, NY 11354",Kung Fu Tea,167,Point,-73.8298336,40.7607693
75,"147 Montague St
Brooklyn, NY 11201",Hanco’s,165,Point,-73.993402,40.6947712
76,"234 Canal St
Ste 107
New York, NY 10013",Kung Fu Tea,165,Point,-73.99988309999999,40.717725
77,"806 62nd St
Brooklyn, NY 11220",Kulu Desserts,160,Point,-74.0106636,40.6341309
78,"88-38 Sutphin Blvd
Jamaica, NY 11435",Beijing Dumpling House,159,Point,-73.8090893,40.7039858
79,"30 Dekalb Ave
Brooklyn, NY 11201",The Wei,155,Point,-73.9817862,40.6896847
80,"19A Mott St
New York, NY 10013",Auntea,154,Point,-73.999026,40.7144001
81,"6116 7th Avenue
Brooklyn, NY 11220",Snow & Cream,154,Point,-74.0129245,40.6360465
82,"37 Orchard St
New York, NY 10002",Sam’s Fried Ice Cream,154,Point,-73.99153,40.715839
83,"23 St Marks Pl
New York, NY 10003",Mango Mango Dessert,153,Point,-73.9886502,40.7292248
84,"824B Washington Ave
Brooklyn, NY 11238",Banh Mi Place,151,Point,-73.9631445,40.6732812
85,"229 5th Ave
Brooklyn, NY 11215",Lotus Vietnamese Sandwiches,149,Point,-73.980822,40.6754824
86,"38 Lexington Ave
New York, NY 10010",CoCo Fresh Tea & Juice,145,Point,-73.9845295,40.7401547
87,"64-19 Fresh Pond Rd
Ridgewood, NY 11385",Co Co Lin Vegetarian House,144,Point,-73.8988353,40.7098845
88,"321 W 6th Ave
New York, NY 10012",Fay Da Bakery,139,Point,-74.0016772,40.7311206
89,"7210 B 3rd Ave
Brooklyn, NY 11209",Cream Coffee & Tea Shop,139,Point,-74.027327,40.6332791
90,"1706 Sheepshead Bay Rd
Brooklyn, NY 11235",Arbuz,139,Point,-73.9519303,40.5857749
91,"275 7th Ave
New York, NY 10001",Argo Tea Café,136,Point,-73.9941625,40.7455667
92,"72-36 Austin St
Forest Hills, NY 11375",Violet’s Vietnamese Shoppe,134,Point,-73.84155510000001,40.7186567
93,"Located in
Mitsuwa Marketplace",Matcha Love By Ito En,132,Point,-73.979951,40.8159989
94,"136-19 38th Ave
Flushing, NY 11354",Shiny Tea,132,Point,-73.8300288,40.7611857
95,"206 Grand St
New York, NY 10013",Yaya Tea Garden,131,Point,-73.9963099,40.7191263
